user_name,user_id,web,sex,time,play_time,score,comment,phone,huanle,dianzan,dianxia
额嘞,362393,https://www.taptap.com/user/362393,gender-empty,2017-11-15 18:21:43,52分钟,5,今天终于把它玩完了，之前都不太舍得玩，其实也不是特别难，但是就是觉得很有意思，喜欢那个用阳光控制那个盆栽的那块，虽然花了钱，但是觉得也算值，挺喜欢的，还会不会有纪念碑谷3啊，或者出vr版😄毕竟自己学vr就还挺期待,OPPO R9,,5,3
墨隐哀,336648,https://www.taptap.com/user/336648,female,2017-11-11 23:53:52,1小时6分钟,4,emmmmm开放下载半个小时左右就下载了。挺激动的，毕竟等了几个月了。然后断断续续打通了，放了好几天才来评论诶嘿。画风和音乐都跟第一部一样棒。emmmm比起第一部多了一些新的元素，图腾变了个色什么的hh还有后面那个盆栽和那个啥图标特别嗯有点小惊喜hhh嗯感觉解谜元素没有第一季那么多，基本不怎么需要思考，基本课间十分钟就能玩过一关hh然后看了下TapTap记录的游戏时间也才一个小时，比起第一部简单太多，感觉有点小缺憾吧。还有虽然是秒购入手的，但是据其他小伙伴说好像只能玩一点就要买了emmmm不知道怎么评价吧，但是还是希望就算不买也能有第一部那样稍微好一点的游戏体验吧，不然感觉还没开始喜欢上就已经没了。emmmm这一部主要还是玩的情怀吧，没有太多新元素的加入，还有就是太短了感觉不过瘾啊嘿嘿总之还是支持的啦w玩还是值得一玩的～好了我要去再刷一遍了嘿嘿边玩边截图,金立 大金钢,21,104,47
裤裆里的小怪兽,6008783,https://www.taptap.com/user/6008783,male,2017-11-11 18:26:11,2分钟,4,【依偎与成长，创意与美学的续作】长评：①《纪念碑谷2》与前作沿用了前作的低多边形（low-poly）扁平风和艺术表现形式——经典的视觉错位、矛盾空间等。游戏流程比前作缩短了许多，正常通关全章节只需要1～2个小时，而且难度系数不敌前作。②本作在前作的基础上，增加了不同的画面表现玩法，如章末尾声的自定义万花筒、无尽轮回的几何空间、遇阳而生的成长树等。在一些游戏章节的场景中，能看到许多绚丽的颜色，因为作者用一两种颜色或渡两种反差大的颜色，使整体画面不会显得杂乱，不仅很好地把握种类不同的彩色，而且萝尔送走女儿后的黑白灰场景中也是运用自如，强化了整体的画面表现力，带来的视觉冲击感更加强烈。③剧情内容上，这次旅程的主角从艾达公主变成萝尔母女二人。故事也从艾达归还几何的救赎之旅，变成萝尔带着女儿探索神圣几何奥秘的世界，主题上从救赎与羁绊变成依偎与成长。整个剧情中小女孩从一开始依偎在母亲身边，再到独自驾起一艘小木帆乘风破浪，然后与母亲重合，最后登上神圣几何的桂冠宝座，无时无刻不在体现那伟大又微妙的情感——母爱。母亲萝尔在送走女儿后陷入了迷茫，随后寻找旧友，找到了自己的答案。 ④由于评论篇幅不宜过长，我写了一篇完整的图文版帖子，感兴趣的小伙伴可以看看。https://www.taptap.com/topic/1706107,华为荣耀8,10,54,31
仇厌,10450853,https://www.taptap.com/user/10450853,female,2017-11-16 01:14:12,3小时36分钟,5,玩得很开心 有感到亲情的温柔温暖比起前作难度地了不少 也是我能通关的原因【心虚每一次短暂分别后的拥抱都觉得很温暖很开心最后的画花纹也好好玩（*´ー`*)～♪在游戏结尾看到自己画的花纹球像神迹一样落下来太感动了我们引导角色 角色信仰崇尚我们译文也很有人生道理233333反正拿几个小时的人生来玩真的不亏！会让人觉得舒服的游戏！,vivo Y923,,,1
未霞，,7434201,https://www.taptap.com/user/7434201,female,2017-11-11 10:26:59,26分钟,4,表示与一代相比二代的关卡简单得多了喵，基本上都是转一转，按几个按钮就可以了喵_(з」∠)_没有什么太大的新意啊喵，至少在前三章是这样_(з」∠)_不过呢画风却没有什么太大的改变，简单清新，但是在细节上与一代相比起来略微有着改进呢喵(´･ω･`)还有就是第二章还是第三章来着，滑坡那一段做得很好的喵！虽然把本喵吓得不轻呢(╯‵□′)╯︵┻━┻玩法什么的，与一代相比没有什么区别啦，依旧是一个解谜游戏，有时看似过不去的地方，只要认真观察，合理利用机关这些的，便会“山重水复疑无路，柳暗花明又一村”呢喵╮(‵▽′)╭最后就是小萝莉蹦蹦跳跳的样子感觉超可爱呢喵！(*/ω＼*),OPPO A33,58,203,87
ゲゲケ,64135,https://www.taptap.com/user/64135,gender-empty,2017-11-16 12:39:13,,5,在玩的过程中真的是无脑截图(๑•̀ㅂ•́)و✧手机里一堆，每张都可以是屏保(๑•̀ㅂ•́)و✧超爱(๑•̀ㅂ•́)و✧每一章的最后可以自己来画完结图，真的好喜欢呀(๑•̀ㅂ•́)و✧超级满足少女心(๑•̀ㅂ•́)و✧钱花的也超值(๑•̀ㅂ•́)و✧想再玩一遍(๑•̀ㅂ•́)و✧好喜欢好喜欢(๑•̀ㅂ•́)و✧疯狂卖安利给室友(๑•̀ㅂ•́)و✧已经找不到更多的词汇来形容对它的喜欢了(๑•̀ㅂ•́)و✧满分100分，我给1亿分(๑•̀ㅂ•́)و✧期待3(๑•̀ㅂ•́)و✧从把游戏下下来，断断续续的玩，刚刚终于通关了，然后第一时间来写评论(๑•̀ㅂ•́)و✧,华为荣耀V9,,3,
ilaiceroY灵,1000730,https://www.taptap.com/user/1000730,gender-empty,2017-11-15 02:53:03,1小时18分钟,5,纪念碑谷二，虽然关卡难度没有一代高，但游戏整体可玩性并不比一代差，在每个关卡结束后，碑谷的关卡图腾由原版设计好的图腾，改变成玩家自己选择设计碑谷图腾，新奇的创意十分有趣。嘛～希望二代可以出一些番外关卡吧。,,,1,
boy next door,9645448,https://www.taptap.com/user/9645448,gender-empty,2017-11-17 12:01:07,,5,很期待以后的新关卡更新（小暖图腾出境好少呀哇哇哇）。纪念碑谷2最棒的创意是两条剧情线，最后一关可以操作两个人，你不得不惊叹设计者的技术和脑洞。开始几关确实简单，算是新手入门吧，后面就有一定挑战性。剧情方面很多热评都说啦，很精彩，让我回忆起小时候和母亲的点点滴滴。总之，纪念碑谷2带给我们视觉的盛宴和心灵的感动，珍惜身边人！,小米5S Plus,,3,
LITRCA,4805775,https://www.taptap.com/user/4805775,male,2017-11-12 10:04:09,49分钟,5,相比于第一作，纪念碑谷2的剧情线更清晰了，感情表达也更丰富了。但因为整体没有加入太多的游戏新套路，不免让老玩家有些失望。有人说难度相较于上一部下降了，其实正是因为没有加入太多的新套路，使得玩过第一部的玩家很容易就能通关。总的来说，第二部的评价不如第一部的原因主要是因为第一部带来了“惊喜感”，这使得它在这方面加分。很多游戏都面临着第二部反响不如第一部的问题。另外第一部连被遗忘的海岸和艾达的梦都19个关卡了，价格都比第二部的14个关卡便宜，第二部在第一部的基础上也没有什么质的飞跃，这样的价格实在有点难以接受。总之求USTWO考虑考虑再做几关😳（这段是后加的：其实说没有什么新创意也不对，果园、眠海之城等等地方也是有很多新玩法的，只是主要玩法不变，说第二部没有创新实在是有点为难官方。另外中国区的价格的确是全球最低，这点我是之前没有注意到的。原价24，我趁打折时用微信只花了17.10，腾讯在这一点上还是很良心的。不出新关卡也值了，如果出的话我也不介意ಡωಡ）───────────────────论全游戏最让我感动的地方就是植物园结尾了，萝尔给孩子送去祝福的画面，萝尔仰望的天空变成孩子行驶的海洋，这个创意真的很棒。其次就是在远日点图腾被唤醒的时候了，另外萝尔踩到图腾眼睛的时候图腾还会把眼镜闭起来，真的好萌啊_(:3」∠)_───────────────────再次求USTWO多来几关，正如萝尔的母亲所说：山谷中的幽灵一日不能安宁，纪念碑谷的故事就一日不会完结（这段是后加的：好像萝尔母亲说的和这个不一样，总之是这个意思就对了）,vivo X5M,23,172,35
孤屿,531055,https://www.taptap.com/user/531055,female,2017-11-12 18:01:44,1小时22分钟,4,玩完了。相比一代差好多，因为一代想入的慎重-首先是游戏时长，真的是每一关都非常短，两三张图就没了，打通关也就两个晚上，还是学生党没多少时间玩的情况下其次游戏难度，相比一代简单太多，基本都不需要动脑子(。)随便转转就能过了操作和关卡都没什么创新，除了阳光与果树及后面几关转平台的之外，感觉基本全都是一代了，完全没有眼前一亮的感觉-平均一个关卡五分钟左右？还有些关卡看完剧情就没了emm-价格偏贵，不知道和tx代理有没有关系，对比一代，二不仅短小还贵出那么多。还是说钱全在翻译费上了？？但如果是一代这个价，我个人完全可以接受。-可能这代游戏侧重点在亲子互动向上吧，反正我一个解密玩家挺失望的，光卖情怀远远不够啊-主题方面一代侧重点个人理解在于忏悔与拯救吧，偷走了神圣几何的小公主，经亡灵(？)指点选择了忏悔，选择归还神圣几何，也遇见了朋友，最终得到一个美好的结局二代的话侧重亲情咯？立意没有比一代令人印象深刻吧。母亲和孩子，关于爱与成长，其实也是很温暖的主题，但是相比较差距挺大-画面和bgm还是没得挑，都很不错-看到有评论说图标问题，这代我是觉得不好看。-总得来说有点失望吧，与我而言一代真的是非常棒的游戏了，本体，海岸和梦都刷过好几遍，还是喜欢的不得了二代也是不错的游戏不过我不喜欢。4星还是给一代情怀了。,OPPO R7c,15,246,51
Calendula,4306420,https://www.taptap.com/user/4306420,gender-empty,2017-11-13 14:31:58,3分钟,5,哇这游戏我跟你们说就是疯狂吸萝莉，萝莉长大后疯狂吸软妹，要啥剧情啊要啥难度啊言归正传，二代比一代来说确实简单很多，当初玩儿一代主线以及扩充的时候难度是越来越难，到了后面甚至要思考才能过，但是二代几乎全部关卡都是秒过的就感觉钱花的不值啊2333(开玩笑有萝莉软妹就行)，照官方来说应该还会出扩充，一代的延续很有亮点，但是二代就不知道了毕竟整个从陪伴到分别到再会已经完成，希望官方脑洞大开吧，然后二代我二柱子的戏份太少了吧，而且还被主角疯狂踩眼睛，没柱权啊！！但二柱子刚登场的时候真的超感动，配上标题老友简直了。再扯点别的其实这游戏刚开局就设计成双主线能一开始就猜出来了，而且殊途同归的结局也在意料之中，，本作最大的亮点真的就是跟一代在关键机关上几乎没有相同的，真心佩服制作组的创造力，那个控制阳光的设定不要太赞。最后就是希望在扩充剧情中能增加难度，虽然这游戏就算单纯卖剧情画风音乐我也认了2333但是没有挑战的解密还是会有遗憾啊。,华为 P9 Plus,4,3,2
小江湖,6109361,https://www.taptap.com/user/6109361,gender-empty,2017-11-17 15:12:28,,4,这个游戏给人的感觉非常宁静安详。疼若画质更细腻就好了过程中感觉进去了个新世界……还有讯制新加入的一个小人非常非常可爱啊这代游戏比上代简单了一些，但是更能给人带来安静理戏情啊所以一定不要心疼那几十块钱啊！毕竟这个游戏曾给我那么多欢乐！,华为荣耀8,,1,
非洲咸鱼龙,229697,https://www.taptap.com/user/229697,male,2017-11-17 11:03:50,,4,这一代的重点放在了剧情上面，难度和流程降低了很多画面音乐很棒，通关画图的设定很有趣，最后一关母女合作也很棒但是难度降低后通关时间变短，一路平推过去没什么感觉有几关是纯粹的交代剧情剧情比较含蓄简短，全靠脑补期待下后续关卡吧,华为 荣耀V8,,1,
不是派大星是海星星,1289796,https://www.taptap.com/user/1289796,gender-empty,2017-11-16 13:38:10,,5,熟悉的画风就告诉我纪念碑谷又回来了(｡•̀ᴗ-)✧很多人也许会对第二代游戏的难度下降而有些许的不满，但是在我看来，这一定程度上增加了玩家的受众面，让一代一些因为剧情画风吸引但却因解密难度而望而却步的人回归游戏。其次呢，可圈可点的真的是二代的剧情，极好的诠释了什么叫成长，什么是孤勇...不仅如此，两个小人交互的部分微动作[比如先对视然后拥抱什么的]就很好的给玩家一种代入感，使得剧情所体现出的感情就更加立体。有些篇章的章节名字深得我心，比如说眠海之城这个就超级棒，其后的画面也的确迎合了章节名字。降低了一些解密难度，使得剧情更为完整，情感更加充沛，我认为这样的改进并不是一个错误的决定。一个游戏它要有开发者寄予它的思想它才能成为一个值得高分的作品。最后借我最喜欢的一个句子结束我的评论。至此之路将被铭记无限前途仍待解封以上。,华为荣耀V9,,,
魔仙堡堡主,1382987,https://www.taptap.com/user/1382987,female,2017-11-12 11:32:41,12分钟,4,看到有二的时候我是非常的激动啊，但我本来都已经准备好烧脑了，却发现对于被一折磨过的老玩家二就显的没那么让人眼前一亮，不过二的画面要好看很多啊，还有自己画的那个图，刚开始不知道要干啥，随便搞了个就完事了，搞完发现有点丑又跑回去重画了一个。二让我突然让我吓一跳的就是好像是玩完第二关就需要氪金才能玩了，对我这个刚过完双十一的人来说只能小声mmp了。我记得我玩一的时候好像也是有氪金的?但那个时候已经完全被一吸引了，二玩了两章就要氪金，且还没有被吸引，表示本仙女还没有那么大的氪金欲望。希望二能继续改进吧【不知道是不是因为腾讯...小声bb】,,,4,2
白兔,4476327,https://www.taptap.com/user/4476327,gender-empty,2017-11-15 17:38:20,,4,给四星吧，凭良心给的。第二季叙事性和角色代入感都没有第一部强，可玩性不够，就像是沿着第一部的路子又绕了一遍。但是不得不说，第二部的精细度比第一部高了不少，而终点的图案创新玩法也确实让人眼前一亮。第一季里的少女单枪匹马，唯美中带着淡淡孤勇；而第二季里少女变成了带着孩子的母亲，温馨感自然而然的流露出来。个人认为略有圈钱的意思，创新不足。但是精细度和淡淡的温暖却让人无法忽视，细小之间挥散不去。供参考。,华为荣耀8,,1,
J.YH.M,494073,https://www.taptap.com/user/494073,gender-empty,2017-11-16 17:05:51,,5,觉得一会儿就玩完了🙈不过瘾！《纪念碑谷2》在游戏众生中，是翘楚。唯美的画风、独特的玩法。但在1的基础上，没有很多惊艳的创新。1、分离与重逢刚开始还以为可以有不同的剧情，其实可以不分开……责怪了自己好一阵子。后来发现，并不能。2、光线与生长3、世界中的世界,三星 Galaxy S7 edge,,1,
安汐诺づEnding,8593686,https://www.taptap.com/user/8593686,gender-empty,2017-11-16 23:49:41,,5,2在玩法上仍延续了1的空间错位玩法，游戏性不错，但玩过了1后再玩2就不会产生玩1的时候的惊艳感了。我认为本作的最大亮点是音乐，配合唯美的画风确实给人相当好的体验。不过我还是没法完全理解这个系列游戏的主旨，也许是我情操太差了╮(￣▽￣)╭,华为 荣耀8青春版,,,
Kara⊱♡⊰何祀,2879757,https://www.taptap.com/user/2879757,gender-empty,2017-11-15 13:49:01,,5,五星好评不需要理由！关卡难度比1要稍低一点，也有可能是因为N周目1所以熟悉套路了故事线相较1来说更加完整了，算是一个进步～另外，游戏中的中文翻译还特别邀请了康永哥和饶雪漫，算一个卖点吧，个人还蛮喜欢康永哥黑鸟诗版的翻译的❤再来就是蛮多人诟病的搭载腾讯平台，个人看来完全没有负面影响也不值得焦虑，毕竟只是为了腾讯的用户群以及推广。换言之，能让更多人看到纪念碑谷2所以搭载腾讯游戏平台是个非常不错的选择关卡数暂时只有十四关，按照1的套路来说应该还会有DLC，期望DLC能适当增加一丢丢难度啦～,小米 6,,1,
绳索,8882368,https://www.taptap.com/user/8882368,male,2017-11-16 13:34:13,,5,第一次玩的时候都好几年前了，玩1，还是免费的，冲这画质，我就要给5星。时隔几年，出来二，说真的，难度下降了很多，还没通关，不敢通关，只能慢慢玩，怕一下就玩完了就没了。我最后悔的就是几年前用了2个小时把1通关了。可能1真的太好了，特别是几年前，所以我对2的期待实在是很高，所以就有一点点失望,vivo X7,,1,
千叶…,4737352,https://www.taptap.com/user/4737352,male,2017-11-14 22:56:41,,5,我们一直以来对于优秀作品的续作都抱有非常大的期待值，但我们却忘了，作为续作，它的每一个突破和每一个创新都值得惊喜。～～～～～～～～～～～～～～～～～～～～纪念碑谷最开始出来的时候反响就很不错，风格独特又富有创新，而且游戏内容也相当充实，给很多玩家带来了一段非常美好的游戏时光。作为续作，纪念碑谷2完美的的继承了1的特点，个人觉得画面更加丰富了。由于玩过1的原因，2的很多关卡对于大多数玩家来说，真的没阻碍……这个是真的。不过比起1，场景更加丰富，添加了类似于剧情的片段，游戏整体更加温馨唯美，关卡最后的图案可以自己绘制，每一次都是不同的图案。2给我带来的是一段温馨而又美好的体验。我跟开心，在玩游戏的时候。～～～～～～～～～～～～～～～～～～～～不过关卡比起一真的有点少啊～虽然我知道每个关卡的设计都需要很多人的创意集合在一起，做出来还是挺有难度的。不过我真的没玩够_(:з」∠)_,小米5S,1,3,
枳北,4962754,https://www.taptap.com/user/4962754,gender-empty,2017-11-16 20:29:31,,5,五颗星，没毛病。买了好多天后终于通关了。感觉难度系数要比1低，但是人物角色更丰满了，我终于理解了这个游戏想要表达什么。最有创意的一点我觉得是有的关卡最后会让你自己画图案（貌似不是所有的关卡都有），然后我不知疲倦地画呀画画呀画，发现图案的轨迹是根据你滑动的方向而改变的，很有趣。最后一关墙上有只蜥蜴，手贱点了一下就跑了，还以为会有什么彩蛋呢orz结果什么也没有，有点小失望orz嗯我觉得不比1差，就酱。,小米 6,,,
小野黑糖C,4629100,https://www.taptap.com/user/4629100,gender-empty,2017-11-09 17:27:31,2分钟,5,其实2也很棒呀，不知道为什么真多人批评，难度是下降了一些，但这个游戏我觉得亮点本来就不在于难易度，画风和音乐还是那么棒，我稍稍纠结了一下还是买了后面的章节，想说最后一章通关的音乐那里真的超级棒了莫名想哭，相比于第一作，2更偏重于剧情和故事性，侧重点不一样，为毛都硬要拿来比较，唯一让我不满意的大概就是章节太少啦！快开放更多的章节啦！！！！还想知道如果现在卸载了以后再下回来那购买记录还在吗，玩完的游戏每次都想清掉又怕把购买记录一起清掉了，万一以后又出了章节怎么办！,,24,136,71
奥陶,8497945,https://www.taptap.com/user/8497945,male,2017-11-10 10:08:46,2分钟,4,游戏虽然不错，不过相比较前作水平下滑比较大，倒不是说难度降低了或者怎么样，而是游戏不论整体观感还是内容充实度都比前作差不少，关卡数也严重缩水，与之形成鲜明对比的是游戏的价格却是前作的两倍还多，对于这些恕我无法接受。估计这也就是纪念碑谷2在TapTap上评价不如1的原因吧。本来是想给三星的（前作五星的话确实这样），但是考虑到纪念碑谷2无论是游戏形式，还是画面及音乐都是游戏中的上乘之作，评价三星确实有失公允。三星过低，四星又高了（游戏内容充实度确实不高）。三星半吧，感觉游戏勉强比《说剑》高一个层次，但是对比价格……,小米Note 2,18,216,55
輝夜◇極,5261473,https://www.taptap.com/user/5261473,gender-empty,2017-11-12 11:31:06,40分钟,5,不是很懂，为什么要在一代的光环下给第二部中差评，抛开第一部这依然是一部神作。美工和bgm都要优于第一部，寓意很深，时长和第一部正章差不多，最后几关也很出彩。玩法虽没有很多创新但并不妨碍视觉上的感受，就当做是第一部的一次付费更新不好么？这是一部艺术品，他拥有★★★★★的品质，也值得这份评价,华为 荣耀4A,1,6,2
Carp,5943479,https://www.taptap.com/user/5943479,female,2017-11-12 19:14:22,3小时12分钟,5,全程无障碍通关呢٩(- ̮̮̃-̃)۶相对1比起来纪念碑谷2是要容易很多滴说ฅ( ̳• ◡ • ̳)ฅ（所以玩纪念碑谷2的正确姿势是要先去玩1？）还有图腾君你怎么了(*꒦ິ⌓꒦ີ)你怎么从猥琐黄变成了天真蓝了（滑稽）┌・ω・)┌✧还在身上开了一个洞 (つД`)我不相信就我一个人在最后画图的时候像疯了一样（划掉）手指在屏幕上疯狂画圈圈|ω•`)画面依旧唯美，超级好看，不过，分享照片时的那一大堆疑似鸡汤的东西，也很好了滴说(手动滑稽)。看见小女孩送花苞里出来时突然长大，心里莫名有种吾女初有所成（误）的感觉。(❀●o●)------------------------------------默默的期待3 ̊ ଳ ̊嘻嘻嘻,华为 揽阅M2,1,5,4
矩守成规,15127245,https://www.taptap.com/user/15127245,gender-empty,2017-11-13 09:10:25,26分钟,5,"美！美到炸裂！每一帧都是艺术啊，这可能是2017能玩到的最美的手机游戏了。那个盆栽非常有创意，也和小女孩的成长剧情很搭唯一遗憾的就是，玩过一代的表示，这有点太简单了……也可能是一代培养了我的“瞎JB乱划诶我怎么解开了”的能力,有些关卡随便划划它就…过了",Xiaomi MIX 2,,1,1
